DATE,FEDFUNDS,MORTGAGE30US,HousePriceIndex
1/1/1991,6.91,9.6375,100.00
2/1/1991,6.25,9.365,100.39
3/1/1991,6.12,9.5,100.67
4/1/1991,5.91,9.4925,100.67
5/1/1991,5.78,9.472,100.84
6/1/1991,5.9,9.615,101.35
7/1/1991,5.82,9.575,101.31
8/1/1991,5.66,9.244,101.27
9/1/1991,5.45,9.0075,101.35
10/1/1991,5.21,8.855,101.58
11/1/1991,4.81,8.712,102.03
12/1/1991,4.43,8.4975,102.17
1/1/1992,4.03,8.432,102.22
2/1/1992,4.06,8.7625,102.89
3/1/1992,3.98,8.935,103.01
4/1/1992,3.73,8.8525,102.92
5/1/1992,3.82,8.672,103.07
6/1/1992,3.76,8.51,103.40
7/1/1992,3.25,8.128,103.69
8/1/1992,3.3,7.975,104.27
9/1/1992,3.22,7.9225,104.50
10/1/1992,3.1,8.088,104.71
11/1/1992,3.09,8.305,104.92
12/1/1992,2.92,8.206,104.50
1/1/1993,3.02,7.9925,104.25
2/1/1993,3.03,7.6825,103.96
3/1/1993,3.07,7.495,104.58
4/1/1993,2.96,7.472,105.42
5/1/1993,3,7.465,105.80
6/1/1993,3.04,7.4175,106.59
7/1/1993,3.06,7.206,106.59
8/1/1993,3.03,7.1125,107.10
9/1/1993,3.09,6.915,107.26
10/1/1993,2.99,6.834,107.38
11/1/1993,3.02,7.155,107.60
12/1/1993,2.96,7.172,107.79
1/1/1994,3.05,7.06,107.72
2/1/1994,3.25,7.1525,107.87
3/1/1994,3.34,7.675,108.57
4/1/1994,3.56,8.316,109.13
5/1/1994,4.01,8.5975,109.71
6/1/1994,4.25,8.3975,110.31
7/1/1994,4.26,8.614,110.40
8/1/1994,4.47,8.5125,110.73
9/1/1994,4.73,8.64,110.57
10/1/1994,4.76,8.925,110.68
11/1/1994,5.29,9.17,110.77
12/1/1994,5.45,9.198,110.46
1/1/1995,5.53,9.1475,110.45
2/1/1995,5.92,8.8275,110.94
3/1/1995,5.98,8.462,111.21
4/1/1995,6.05,8.32,111.70
5/1/1995,6.01,7.955,112.11
6/1/1995,6,7.566,112.90
7/1/1995,5.85,7.6075,113.42
8/1/1995,5.74,7.86,113.77
9/1/1995,5.8,7.636,113.69
10/1/1995,5.76,7.475,113.54
11/1/1995,5.8,7.3775,113.61
12/1/1995,5.6,7.2,113.74
1/1/1996,5.56,7.03,113.84
2/1/1996,5.22,7.075,113.95
3/1/1996,5.31,7.624,114.80
4/1/1996,5.22,7.925,115.34
5/1/1996,5.24,8.07,115.94
6/1/1996,5.27,8.32,116.45
7/1/1996,5.4,8.245,116.83
8/1/1996,5.22,8.002,116.84
9/1/1996,5.3,8.23,116.78
10/1/1996,5.24,7.915,116.67
11/1/1996,5.31,7.618,116.81
12/1/1996,5.29,7.5975,116.81
1/1/1997,5.25,7.824,116.64
2/1/1997,5.19,7.65,116.93
3/1/1997,5.39,7.8975,117.87
4/1/1997,5.51,8.1425,118.35
5/1/1997,5.5,7.944,119.18
6/1/1997,5.56,7.69,119.61
7/1/1997,5.52,7.4975,119.90
8/1/1997,5.54,7.48,120.32
9/1/1997,5.54,7.43,120.12
10/1/1997,5.5,7.294,120.50
11/1/1997,5.52,7.205,120.67
12/1/1997,5.5,7.095,120.71
